Latitude,Longitude,Total Ports,EV Connector Type
40.618008,-73.945506,0,Simultaneous DCFC Ports
40.618008,-73.945506,0,TESLA
40.62215,-74.02565,0,CHADEMO
40.62215,-74.02565,6,J1772
40.62215,-74.02565,0,J1772COMBO
40.62215,-74.02565,0,Simultaneous DCFC Ports
40.62215,-74.02565,0,TESLA
40.622268,-73.742699,0,CHADEMO
40.622268,-73.742699,1,J1772
40.622268,-73.742699,0,J1772COMBO
40.622268,-73.742699,0,Simultaneous DCFC Ports
40.622268,-73.742699,0,TESLA
40.62333977,-73.27762909,0,CHADEMO
40.62333977,-73.27762909,1,J1772
40.62333977,-73.27762909,0,J1772COMBO
40.62333977,-73.27762909,0,Simultaneous DCFC Ports
40.62333977,-73.27762909,0,TESLA
40.628685,-73.2329534,0,CHADEMO
40.628685,-73.2329534,1,J1772
40.628685,-73.2329534,0,J1772COMBO
40.628685,-73.2329534,0,Simultaneous DCFC Ports
40.628685,-73.2329534,0,TESLA
40.629424,-74.111586,0,CHADEMO
40.629424,-74.111586,0,J1772
40.629424,-74.111586,0,J1772COMBO
40.629424,-74.111586,0,Simultaneous DCFC Ports
40.629424,-74.111586,2,TESLA
40.63372,-73.333732,0,CHADEMO
40.63372,-73.333732,1,J1772
40.63372,-73.333732,0,J1772COMBO
40.63372,-73.333732,0,Simultaneous DCFC Ports
40.63372,-73.333732,0,TESLA
40.63372,-73.333663,0,CHADEMO
40.63372,-73.333663,1,J1772
40.63372,-73.333663,0,J1772COMBO
40.63372,-73.333663,0,Simultaneous DCFC Ports
40.63372,-73.333663,0,TESLA
40.636324,-74.019228,0,CHADEMO
40.636324,-74.019228,1,J1772
40.636324,-74.019228,0,J1772COMBO
40.636324,-74.019228,0,Simultaneous DCFC Ports
40.636324,-74.019228,0,TESLA
40.63851,-73.998605,0,CHADEMO
40.63851,-73.998605,2,J1772
40.63851,-73.998605,0,J1772COMBO
40.63851,-73.998605,0,Simultaneous DCFC Ports
40.63851,-73.998605,0,TESLA
40.638531,-73.99858,0,CHADEMO
40.638531,-73.99858,2,J1772
40.638531,-73.99858,0,J1772COMBO
40.638531,-73.99858,0,Simultaneous DCFC Ports
40.638531,-73.99858,0,TESLA
40.638536,-73.99864,0,CHADEMO
40.638536,-73.99864,2,J1772
40.638536,-73.99864,0,J1772COMBO
40.638536,-73.99864,0,Simultaneous DCFC Ports
40.638536,-73.99864,0,TESLA
40.63855,-73.998668,0,CHADEMO
40.63855,-73.998668,2,J1772
40.63855,-73.998668,0,J1772COMBO
40.63855,-73.998668,0,Simultaneous DCFC Ports
40.63855,-73.998668,0,TESLA
40.638557,-73.998678,0,CHADEMO
40.638557,-73.998678,2,J1772
40.638557,-73.998678,0,J1772COMBO
40.638557,-73.998678,0,Simultaneous DCFC Ports
40.638557,-73.998678,0,TESLA
40.638561,-73.998686,0,CHADEMO
40.638561,-73.998686,2,J1772
40.638561,-73.998686,0,J1772COMBO
40.638561,-73.998686,0,Simultaneous DCFC Ports
40.638561,-73.998686,0,TESLA
40.638581,-73.998691,0,CHADEMO
40.638581,-73.998691,2,J1772
40.638581,-73.998691,0,J1772COMBO
40.638581,-73.998691,0,Simultaneous DCFC Ports
40.638581,-73.998691,0,TESLA
40.638583,-73.998687,0,CHADEMO
40.638583,-73.998687,2,J1772
40.638583,-73.998687,0,J1772COMBO
40.638583,-73.998687,0,Simultaneous DCFC Ports
40.638583,-73.998687,0,TESLA
40.638594,-73.998676,0,CHADEMO
40.638594,-73.998676,2,J1772
40.638594,-73.998676,0,J1772COMBO
40.638594,-73.998676,0,Simultaneous DCFC Ports
40.638594,-73.998676,0,TESLA
40.63947,-74.076912,0,CHADEMO
